roi_index,roi_name,module,module_Q,module_significant
0,Acumbens_left,1,0.09853505476932219,True
1,AID_left,2,0.14742752726595426,True
2,AIP_left,2,0.14742752726595426,True
3,AIV_left,2,0.14742752726595426,True
4,Amygdala_left,2,0.14742752726595426,True
5,Au1_left,3,0.063615770242243,True
6,AUD_left,4,0.13238370827313464,True
7,AuV_left,3,0.063615770242243,True
8,Brainstem_left,3,0.063615770242243,True
9,Cent_Gray_left,5,0.13834999778397578,True
10,Cerebellum_left,5,0.13834999778397578,True
11,Cg_left,1,0.09853505476932219,True
12,DI_left,2,0.14742752726595426,True
13,DLEnt_left,5,0.13834999778397578,True
14,DLO_left,6,0.04714024567519337,True
15,Ect_left,3,0.063615770242243,True
16,Fr3_left,6,0.04714024567519337,True
17,GI_left,2,0.14742752726595426,True
18,Hipp_CA1_A_left,4,0.13238370827313464,True
19,Hipp_CA1_P_left,3,0.063615770242243,True
20,Hipp_CA2_left,3,0.063615770242243,True
21,Hipp_CA3_A_left,4,0.13238370827313464,True
22,Hipp_CA3_P_left,3,0.063615770242243,True
23,Hipp_dentegyrus_A_left,4,0.13238370827313464,True
24,Hipp_dentegyrus_P_left,3,0.063615770242243,True
25,Hipp_FC_left,4,0.13238370827313464,True
26,Hipp_Sub_A_left,4,0.13238370827313464,True
27,Hipp_Sub_P_left,4,0.13238370827313464,True
28,Hypothalamus_left,3,0.063615770242243,True
29,IL_left,1,0.09853505476932219,True
30,Inferior_Colliculus_left,5,0.13834999778397578,True
31,LPtA_left,4,0.13238370827313464,True
32,LSeptn_left,1,0.09853505476932219,True
33,M1_left,6,0.04714024567519337,True
34,M2_left,6,0.04714024567519337,True
35,MPtA_left,4,0.13238370827313464,True
36,Piriform_left,2,0.14742752726595426,True
37,PRh_left,4,0.13238370827313464,True
38,PrL_left,1,0.09853505476932219,True
39,PtPD_left,4,0.13238370827313464,True
40,Rest_of_Midbrain_left,3,0.063615770242243,True
41,RSD_left,4,0.13238370827313464,True
42,RSGb_left,5,0.13834999778397578,True
43,RSGc_left,4,0.13238370827313464,True
44,S1BF_left,1,0.09853505476932219,True
45,S1DZ0_left,6,0.04714024567519337,True
46,S1DZ_left,6,0.04714024567519337,True
47,S1FL_left,6,0.04714024567519337,True
48,S1HL_left,1,0.09853505476932219,True
49,S1J_left,6,0.04714024567519337,True
50,S1Tr_left,4,0.13238370827313464,True
51,S1ULp_left,2,0.14742752726595426,True
52,S2_left,2,0.14742752726595426,True
53,SaA_left,2,0.14742752726595426,True
54,SaM_left,2,0.14742752726595426,True
55,SaP_left,2,0.14742752726595426,True
56,Substantia_Nigra_left,3,0.063615770242243,True
57,Superior_Colliculus_left,5,0.13834999778397578,True
58,TeA_left,4,0.13238370827313464,True
59,Thalamus_A_left,3,0.063615770242243,True
60,Thalamus_P_left,3,0.063615770242243,True
61,V1B_left,4,0.13238370827313464,True
62,V1_left,4,0.13238370827313464,True
63,V2L_left,4,0.13238370827313464,True
64,V2ML_left,4,0.13238370827313464,True
65,VP_mfb_left,1,0.09853505476932219,True
66,Acumbens_right,1,0.09853505476932219,True
67,AID_right,2,0.14742752726595426,True
68,AIP_right,2,0.14742752726595426,True
69,AIV_right,2,0.14742752726595426,True
70,Amygdala_right,2,0.14742752726595426,True
71,Brainstem_right,5,0.13834999778397578,True
72,Central_Gray_right,5,0.13834999778397578,True
73,Cerebellum_right,5,0.13834999778397578,True
74,Cg_right,1,0.09853505476932219,True
75,DI_right,2,0.14742752726595426,True
76,DLEnt_right,5,0.13834999778397578,True
77,Ect_right,5,0.13834999778397578,True
78,GI_right,2,0.14742752726595426,True
79,Hipp_CA1_A_right,5,0.13834999778397578,True
80,Hipp_CA1_P_right,5,0.13834999778397578,True
81,Hipp_CA2_right,5,0.13834999778397578,True
82,Hipp_CA3_A_right,5,0.13834999778397578,True
83,Hipp_CA3_P_right,5,0.13834999778397578,True
84,Hipp_dentegyrus_A_right,5,0.13834999778397578,True
85,Hipp_dentegyrus_P_right,5,0.13834999778397578,True
86,Hipp_FC_right,4,0.13238370827313464,True
87,Hipp_Sub_A_right,5,0.13834999778397578,True
88,Hipp_Sub_P_right,5,0.13834999778397578,True
89,Hypothalamus_right,3,0.063615770242243,True
90,IL_right,1,0.09853505476932219,True
91,Inferior_Colliculus_right,5,0.13834999778397578,True
92,LSeptn_right,1,0.09853505476932219,True
93,M1_right,1,0.09853505476932219,True
94,M2_right,1,0.09853505476932219,True
95,Piriform_right,2,0.14742752726595426,True
96,PrL_right,1,0.09853505476932219,True
97,Rest_of_Midbrain_right,5,0.13834999778397578,True
98,RSD_right,4,0.13238370827313464,True
99,RSGb_right,4,0.13238370827313464,True
100,RSGc_right,4,0.13238370827313464,True
101,S1BF_right,1,0.09853505476932219,True
102,S1DZ_right,1,0.09853505476932219,True
103,S1FL_right,1,0.09853505476932219,True
104,S1HL_right,1,0.09853505476932219,True
105,S1ULp_right,2,0.14742752726595426,True
106,S2_right,2,0.14742752726595426,True
107,SaA_right,2,0.14742752726595426,True
108,SaM_right,2,0.14742752726595426,True
109,SaP_right,2,0.14742752726595426,True
110,Superior_Colliculus_right,5,0.13834999778397578,True
111,Thalamus_A_right,3,0.063615770242243,True
112,Thalamus_P_right,3,0.063615770242243,True
113,VP_mfb_right,1,0.09853505476932219,True
