k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
14,1,,15.859649122807017,0.5838236276316666,0.2625423226834816,0.36840641589808915,B
14,2,,13.87719298245614,0.6298544386927316,0.29606103047178506,0.30837146805542637,B
14,3,,13.87719298245614,0.6354872982125563,0.291834010628032,0.3216105670442516,B
14,4,,13.87719298245614,0.6208072750270919,0.2756341733765359,0.32428979190830476,B
14,5,,17.842105263157894,0.6004474456830222,0.3198784593342546,0.3560367634587882,B
14,6,,17.842105263157894,0.6186607316550491,0.33633353177486236,0.34371173226072743,B
14,7,,15.859649122807017,0.6341321382065894,0.3228525600955261,0.32382025384970536,B
14,8,,15.859649122807017,0.5942497981011059,0.2810166610115935,0.35499052669406866,B
14,9,,17.842105263157894,0.5826813671816153,0.2917124434164985,0.37358218636035667,B
14,10,,13.87719298245614,0.6255947042201441,0.28630131539424275,0.31556748814245406,B
14,11,,15.859649122807017,0.6087638570103349,0.29447378567124105,0.3478739537852158,B
14,12,,19.82456140350877,0.5266986762430901,0.2751248169658529,0.420302995934558,B
14,13,,13.87719298245614,0.6380246930605888,0.2745516942048163,0.33307786116436733,B
14,14,,17.842105263157894,0.5579173694436066,0.2704059340592806,0.3916638086280102,B
