k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy
12,1,,9.912280701754385,0.630344325714202,0.3629664596887273,0.268991400013167,A_positive
12,2,,11.894736842105264,0.6137245863568048,0.3650061496041073,0.2840359017689447,A_positive
12,3,,11.894736842105264,0.5933017594879451,0.33055558199017565,0.3101409409157564,A_positive
12,4,,11.894736842105264,0.6090904730087879,0.34526494953543263,0.3013332740367947,A_positive
12,5,,9.912280701754385,0.6322619186064139,0.3514736198875098,0.2751135488632162,A_positive
12,6,,9.912280701754385,0.6216664300012069,0.36105856147873866,0.2704933033830069,A_positive
12,7,,9.912280701754385,0.6164992941138137,0.31355996950710824,0.2823118861435973,A_positive
12,8,,9.912280701754385,0.6524762403010391,0.34092043709125985,0.27767842011529636,A_positive
12,9,,9.912280701754385,0.6261805791038746,0.35104964090674406,0.27259295083202384,A_positive
12,10,,11.894736842105264,0.6254610554892313,0.34887351789616566,0.2986832114094423,A_positive
12,11,,11.894736842105264,0.6237912322969853,0.4026207648809016,0.28529174190833834,A_positive
12,12,,11.894736842105264,0.6067216644363831,0.3441517766204258,0.2989401030546517,A_positive
