node_idx,roi_name,module,participation_coef,within_module_zscore,node_role,pc_z_score,pc_p_value,pc_significant
0,Acumbens_left,1,0.0,-0.7704485170673001,1,-6.168452023096567,0.003,True
1,AID_left,2,0.3891638067891854,0.253964750604995,2,-6.108517436466268,0.002,True
2,AIP_left,2,0.4291820240848112,-0.7065269389350627,2,-4.561124955449812,0.001,True
3,AIV_left,1,0.45171045275484256,-0.16726001637860244,2,-4.620692758616088,0.0,True
4,Amygdala_left,3,0.3921710441833839,0.49519488841460507,2,-4.389409409144091,0.003,True
5,Au1_left,4,0.5913473595061189,-0.4854852209328905,2,-1.7327243395031124,0.057,False
6,AUD_left,4,0.4699766192824636,0.01947337829248115,2,-3.327917046561041,0.01,True
7,AuV_left,3,0.6593747308393207,-0.8303980925669935,3,-0.6269884236439053,0.537,False
8,Brainstem_left,5,0.0,-0.9557732219346482,1,-6.696766683850974,0.0,True
9,Cent_Gray_left,5,0.46121626039147934,-0.6512580968541897,2,-3.8808673268279588,0.005,True
10,Cerebellum_left,5,0.3461338518758985,-1.6356286312962716,2,-2.2492326011986883,0.029,True
11,Cg_left,1,0.0,0.6186811219599381,1,-8.879206151942725,0.0,True
12,DI_left,2,0.2909374281195769,0.5206469877532659,2,-8.5165391405558,0.0,True
13,DLEnt_left,5,0.18926670529130318,-0.23033149786556134,2,-7.871604865990062,0.0,True
14,Ect_left,5,0.0,-0.6714992539819332,1,-8.371776726290072,0.0,True
15,Fr3_left,2,0.39218206305046877,-0.8807085126013338,2,-3.9708093777380693,0.001,True
16,GIDI_left,3,0.717015318552098,-2.100173281011463,3,0.6529692911174428,0.536,False
17,GI_left,2,0.0,1.7640569693015185,1,-14.642456601782461,0.0,True
18,Hipp_CA1_A_left,4,0.44579695428868515,1.290288526686277,2,-4.747639320783532,0.001,True
19,Hipp_CA2_left,4,0.35337151973550274,1.2108189844084665,2,-5.891607764213888,0.001,True
20,Hipp_CA3_A_left,4,0.587823782771469,-1.3706102236810278,2,-1.0515777432533093,0.23,False
21,Hipp_CA3_P_left,4,0.2568219513648705,0.13038411537847358,2,-4.775934501441897,0.002,True
22,Hipp_dentegyrus_A_left,4,0.0,1.1555373284295682,1,-8.270102528493073,0.0,True
23,Hipp_dentegyrus_P_left,4,0.4999179637280059,-1.8424504182964556,2,-0.8768518081968965,0.377,False
24,Hipp_FC_left,6,0.3960944296929739,-1.4677798396460386,2,-1.7040536340148142,0.124,False
25,Hipp_Sub_A_left,4,0.5265996348430639,-0.024754709719187643,2,-2.7394342534362477,0.018,True
26,Hipp_Sub_P_left,5,0.4479573879630946,-0.829348934031857,2,-3.130035588659695,0.013,True
27,Hypothalamus_left,3,0.0,1.073217937355049,1,-7.107933604497951,0.001,True
28,IL_left,1,0.0,0.3760263910029862,1,-9.160751311673161,0.0,True
29,Inferior_Colliculus_left,5,0.0,-0.2597738524997847,1,-8.927299088492447,0.0,True
30,LPtA_left,6,0.0,0.8520224420145117,1,-9.862656392536989,0.0,True
31,LSeptn_left,1,0.0,0.9546179383582345,1,-11.563905428474637,0.0,True
32,M1_left,1,0.4782993430298166,0.1035363285426675,2,-4.458667213995121,0.006,True
33,M2_left,1,0.33633639157306716,0.5647271451853416,2,-6.217713373598571,0.0,True
34,MPtA_left,6,0.0,1.6142719603360225,1,-12.605925602552468,0.0,True
35,Piriform_left,1,0.3674205387515751,-0.33518806947679336,2,-5.129169991971587,0.001,True
36,PRh_left,5,0.0,-1.132205431136026,1,-6.544412614572539,0.0,True
37,PrL_left,1,0.0,1.3721476804602486,1,-11.230449957548196,0.0,True
38,PtPD_left,6,0.5312275967761286,0.024521151902887096,2,-3.516020455154694,0.002,True
