k,state,mean_pc,std_pc,mean_z,std_z,n_hubs,n_connectors,n_significant_pc
2,0,0.24658770272587405,0.19394653606924994,5.794585084666387e-17,1.0,0,0,110
2,1,0.20540943918374913,0.20347377981012557,-3.5059674461847047e-17,0.9999999999999999,0,2,104
3,0,0.2617365000670984,0.1973658187154454,-5.843279076974508e-17,0.9999999999999999,0,2,111
3,1,0.3268625161075183,0.19871260917794706,-6.038055046206992e-17,0.9999999999999999,0,8,110
3,2,0.19937808969364906,0.1933334117120793,5.0641752000445734e-17,1.0,0,1,106
4,0,0.2713203638801343,0.19751434497107756,4.382459307730881e-18,1.0,0,4,108
4,1,0.3042810932742266,0.1896887493735211,-2.4006138207903606e-16,1.0,0,4,110
4,2,0.22143435270972117,0.19602725129280388,9.057082569310487e-17,0.9999999999999999,0,0,110
4,3,0.2609494548537741,0.2119059425675301,-8.375366676996795e-17,1.0,0,3,108
5,0,0.25045300225595196,0.21214958608396337,3.505967446184705e-16,1.0,0,3,103
5,1,0.22375576427639737,0.20154116272965958,-7.791038769299344e-18,1.0,0,2,104
5,2,0.21443343364060347,0.19325654486450755,-6.719770938520684e-17,0.9999999999999999,0,1,108
5,3,0.2382957612805346,0.2097606098161996,1.6555957384761106e-16,1.0,0,3,101
5,4,0.2651663013373027,0.19924787865398208,-1.1102230246251565e-16,1.0,0,3,109
6,0,0.2308213367416282,0.1999936068774323,-1.0030962415472906e-16,1.0,0,3,105
6,1,0.25845101716991237,0.19447937721989142,-8.570142646229278e-17,1.0,0,2,109
6,2,0.18474798431733844,0.19092185756418176,-1.6555957384761105e-17,1.0,0,0,104
6,3,0.2544482172464101,0.1957483274117717,-2.337311630789803e-17,1.0,0,2,108
6,4,0.26787446256816916,0.1999151173966443,2.337311630789803e-17,1.0,0,1,111
6,5,0.2883491195876575,0.2113338494039533,-1.2806519977035796e-16,1.0,0,3,105
7,0,0.29261612244876356,0.21003219540770934,-1.5582077538598687e-16,1.0,0,6,105
7,1,0.3099732680521883,0.19164622451702573,3.481620450030644e-17,1.0,0,5,111
7,2,0.24395599423509903,0.2009484483917653,3.1164155077197375e-17,1.0,0,2,106
7,3,0.2675469548698405,0.21613578005349776,-1.9794107873251147e-16,1.0,0,1,105
7,4,0.21968440872051812,0.2091093522410806,9.15447055392673e-17,0.9999999999999999,1,3,101
7,5,0.30296787195098307,0.1991023365938927,-7.352792838526255e-17,0.9999999999999999,0,2,111
7,6,0.23697980618106712,0.18548938111360938,2.0110618823253932e-16,1.0,0,1,110
8,0,0.2940943966408795,0.20361086305560178,-1.5533383546290568e-16,0.9999999999999999,1,2,109
8,1,0.2246587211593095,0.20644859218544676,-5.843279076974508e-17,1.0,0,2,104
8,2,0.29810254793000285,0.19579637775010497,1.028660587509054e-16,1.0,0,5,109
8,3,0.2550300516798656,0.20646455422825988,-1.5192525600133721e-16,1.0,0,3,111
8,4,0.2475614316429752,0.2021842544862087,-1.6555957384761105e-17,1.0,0,2,108
8,5,0.26127065895208806,0.19343532566407443,5.356339153893299e-17,1.0,0,2,110
8,6,0.2375885374325924,0.2111447304488381,1.1102230246251565e-16,0.9999999999999999,0,2,102
8,7,0.25470434955676535,0.20100266391632113,6.232831015439475e-17,0.9999999999999999,0,3,107
9,0,0.28732686545862995,0.18853153994557864,7.255404853910015e-17,0.9999999999999999,0,1,111
9,1,0.26591561250586077,0.2022499415966132,4.86939923081209e-17,1.0,0,1,110
9,2,0.227657447676279,0.20460439013354295,-7.791038769299344e-18,0.9999999999999999,0,1,107
9,3,0.25301452635689475,0.20291249940331815,6.524994969288201e-17,0.9999999999999999,0,3,107
9,4,0.25166847707301504,0.18997177929653364,-1.84063290924697e-16,1.0,0,0,108
9,5,0.33551932480410307,0.20387027505866367,-2.7244288696393644e-16,0.9999999999999999,0,8,111
9,6,0.2432044445758291,0.19155409973385312,-2.5710427938687837e-16,1.0,0,3,109
9,7,0.2242280344119707,0.207170910002888,-7.669303788529042e-17,1.0,0,3,106
9,8,0.24535900340097827,0.219497631687503,1.3244765907808884e-16,1.0,0,7,105
10,0,0.22649961525056944,0.19888102391890505,8.351019680842734e-17,1.0,1,2,105
10,1,0.25427244418584605,0.20888048465203557,-8.764918615461762e-17,1.0,0,3,101
10,2,0.24934091080706,0.20831501233500505,-1.6555957384761105e-17,1.0,0,2,106
10,3,0.25652028016654144,0.19168427859356127,6.817158923136926e-17,0.9999999999999999,0,2,110
10,4,0.23221955779561712,0.20022981900255488,-3.9880379700351017e-16,1.0,0,2,111
10,5,0.21733460839197663,0.19970769871123098,-1.675073335399359e-16,1.0,0,1,103
