k,state,Q_total,Q_z_score,n_modules,n_significant_modules,percent_significant,interpretation,analysis_time_seconds
2,0,0.6010913770854148,19.22898345716558,5,5,100.0,HIGHLY SIGNIFICANT,264.6433000564575
2,1,0.6482607700619083,18.679058420634977,5,5,100.0,HIGHLY SIGNIFICANT,261.2536540031433
3,0,0.6375498227442543,20.161274243365224,6,6,100.0,HIGHLY SIGNIFICANT,264.1121098995209
3,1,0.5844404777171737,18.424881759742664,7,7,100.0,HIGHLY SIGNIFICANT,261.45251297950745
3,2,0.6473239071655343,18.630913434486295,5,5,100.0,HIGHLY SIGNIFICANT,264.27488803863525
4,0,0.6234709757170606,19.72202724984274,6,6,100.0,HIGHLY SIGNIFICANT,262.91001296043396
4,1,0.5794634751967581,19.262724302667316,6,6,100.0,HIGHLY SIGNIFICANT,264.15655279159546
4,2,0.6587771999035057,18.172438418031376,6,6,100.0,HIGHLY SIGNIFICANT,257.73854207992554
4,3,0.6315976466384099,20.098772323474677,6,6,100.0,HIGHLY SIGNIFICANT,257.9941749572754
5,0,0.6023237350682604,17.732805435035075,6,6,100.0,HIGHLY SIGNIFICANT,259.3700957298279
5,1,0.622630618012769,19.456609549497408,5,5,100.0,HIGHLY SIGNIFICANT,258.0814070701599
5,2,0.6271712561932448,19.166957739446833,5,5,100.0,HIGHLY SIGNIFICANT,259.24845123291016
5,3,0.6555927790118783,18.11720926611404,6,6,100.0,HIGHLY SIGNIFICANT,255.02291798591614
5,4,0.6333069408191632,19.933024325022473,6,6,100.0,HIGHLY SIGNIFICANT,264.7142720222473
6,0,0.6309677545866657,20.364964045473084,5,5,100.0,HIGHLY SIGNIFICANT,260.16843485832214
6,1,0.6342665915369785,20.032697898396375,6,6,100.0,HIGHLY SIGNIFICANT,259.71278524398804
6,2,0.5824472667335356,20.39178622252165,4,4,100.0,HIGHLY SIGNIFICANT,258.6433172225952
6,3,0.6346280821074878,19.4613672717576,6,6,100.0,HIGHLY SIGNIFICANT,263.88060116767883
6,4,0.6278427737013248,19.7863509841239,6,6,100.0,HIGHLY SIGNIFICANT,255.95806097984314
6,5,0.6183597331058539,19.72166787009003,6,6,100.0,HIGHLY SIGNIFICANT,259.96235179901123
7,0,0.6134533503841682,19.446607786276374,6,6,100.0,HIGHLY SIGNIFICANT,257.3013491630554
7,1,0.5735320011897861,18.972428463270223,6,6,100.0,HIGHLY SIGNIFICANT,258.27035117149353
7,2,0.6371608023895885,19.636888894219695,6,6,100.0,HIGHLY SIGNIFICANT,256.21065974235535
7,3,0.6426637899854641,17.432718244572424,7,7,100.0,HIGHLY SIGNIFICANT,254.41536259651184
7,4,0.6634922364141961,18.34029800264831,6,6,100.0,HIGHLY SIGNIFICANT,256.1242129802704
7,5,0.6196524202951272,17.964759260823605,7,7,100.0,HIGHLY SIGNIFICANT,257.02288794517517
7,6,0.6436721045558953,18.955918446118062,6,6,100.0,HIGHLY SIGNIFICANT,260.9048728942871
8,0,0.609844514395987,19.028921530456433,6,6,100.0,HIGHLY SIGNIFICANT,649.675448179245
8,1,0.6604473115485305,18.751488707383952,6,6,100.0,HIGHLY SIGNIFICANT,2070.504916906357
8,2,0.5819313742974226,19.11804030273864,6,6,100.0,HIGHLY SIGNIFICANT,518.7403848171234
8,3,0.6359964081972026,19.877212762158493,6,6,100.0,HIGHLY SIGNIFICANT,260.6800768375397
8,4,0.645546400052106,19.30218408674136,6,6,100.0,HIGHLY SIGNIFICANT,261.09199619293213
8,5,0.6268136693194124,19.98843259939034,6,6,100.0,HIGHLY SIGNIFICANT,263.9123377799988
8,6,0.6578522643294943,17.4470454115695,6,6,100.0,HIGHLY SIGNIFICANT,261.1489589214325
8,7,0.6280924975191973,19.45579813205978,6,6,100.0,HIGHLY SIGNIFICANT,260.42947602272034
9,0,0.6101071637102409,18.622521139752795,6,6,100.0,HIGHLY SIGNIFICANT,260.948459148407
9,1,0.6315966800468609,19.944597656632258,6,6,100.0,HIGHLY SIGNIFICANT,261.00614500045776
9,2,0.6056516902591995,20.11562828422639,4,4,100.0,HIGHLY SIGNIFICANT,261.21253514289856
9,3,0.6416360538917837,19.5799941520638,6,6,100.0,HIGHLY SIGNIFICANT,260.5922820568085
