k,state,Q_total,Q_pvalue,Q_z_score,n_modules,n_sig_uncorrected,n_sig_fdr_0.05,n_sig_fdr_0.01,n_sig_fdr_0.001,n_sig_bonferroni_0.05
2,0,0.6010913770854148,0.009900990099009901,43.43344550877023,5,5,5,5,0,5
2,1,0.6482607700619083,0.009900990099009901,35.166115378905175,5,5,5,5,0,5
3,0,0.6375498227442543,0.009900990099009901,46.68885891363862,6,6,6,6,0,0
3,1,0.5840234428922342,0.009900990099009901,48.66052331176005,7,7,7,7,0,0
3,2,0.6473239071655343,0.009900990099009901,38.91031369370426,5,5,5,5,0,5
4,0,0.6234709757170606,0.009900990099009901,37.35553990556035,6,6,6,6,0,0
4,1,0.5794634751967581,0.009900990099009901,45.78467937253219,6,6,6,6,0,0
4,2,0.6587771999035057,0.009900990099009901,40.30801042888753,6,6,6,6,0,0
4,3,0.6315976466384099,0.009900990099009901,41.81750295155965,6,6,6,6,0,0
5,0,0.6023237350682604,0.009900990099009901,46.59389503457971,6,6,6,6,0,0
5,1,0.622630618012769,0.009900990099009901,35.01774423895892,5,5,5,5,0,5
5,2,0.6271712561932448,0.009900990099009901,38.94804411457358,5,5,5,5,0,5
5,3,0.6555927790118783,0.009900990099009901,42.05348877130949,6,6,6,6,0,0
5,4,0.6333069408191632,0.009900990099009901,45.41343132327739,6,6,6,6,0,0
6,0,0.6309677545866657,0.009900990099009901,42.82218968237674,5,5,5,5,0,5
6,1,0.6342665915369785,0.009900990099009901,42.56384030872279,6,6,6,6,0,0
6,2,0.5824472667335356,0.009900990099009901,30.45054215519822,4,4,4,4,0,4
6,3,0.6346280821074878,0.009900990099009901,40.30599438371439,6,6,6,6,0,0
6,4,0.6278427737013248,0.009900990099009901,44.650391462452255,6,6,6,6,0,0
6,5,0.6169100799886378,0.009900990099009901,42.31219429285208,6,6,6,6,0,0
7,0,0.6134533503841682,0.009900990099009901,38.39402608425178,6,6,6,6,0,0
7,1,0.5735320011897861,0.009900990099009901,47.32949901830693,6,6,6,6,0,0
7,2,0.6371608023895885,0.009900990099009901,42.802799327565424,6,6,6,6,0,0
7,3,0.6426637899854641,0.009900990099009901,39.063528540656534,7,7,7,7,0,0
7,4,0.6587340157361693,0.009900990099009901,38.15083841164393,6,6,6,6,0,0
7,5,0.6154362459844188,0.009900990099009901,41.30725262010418,7,7,7,7,0,0
7,6,0.6436721045558953,0.009900990099009901,43.459331605117114,6,6,6,6,0,0
8,0,0.609844514395987,0.009900990099009901,43.57993692719338,6,6,6,6,0,0
8,1,0.6604473115485305,0.009900990099009901,43.31568694445025,6,6,6,6,0,0
8,2,0.5824636652159287,0.009900990099009901,41.873619122523834,6,6,6,6,0,0
