k_value,cluster,nCIJtree,mdeg,gce,costmax,E,strategy,data_type
11,1,,,,,,A_positive,resting
11,2,,,,,,A_positive,resting
11,3,,,,,,A_positive,resting
11,4,,,,,,A_positive,resting
11,5,,,,,,A_positive,resting
11,6,,,,,,A_positive,resting
11,7,,,,,,A_positive,resting
11,8,,,,,,A_positive,resting
11,9,,,,,,A_positive,resting
11,10,,,,,,A_positive,resting
11,11,,,,,,A_positive,resting
11,1,,,,,,A_negative,resting
11,2,,,,,,A_negative,resting
11,3,,,,,,A_negative,resting
11,4,,,,,,A_negative,resting
11,5,,,,,,A_negative,resting
11,6,,,,,,A_negative,resting
11,7,,,,,,A_negative,resting
11,8,,,,,,A_negative,resting
11,9,,,,,,A_negative,resting
11,10,,,,,,A_negative,resting
11,11,,,,,,A_negative,resting
11,1,,,,,,B,resting
11,2,,,,,,B,resting
11,3,,,,,,B,resting
11,4,,,,,,B,resting
11,5,,,,,,B,resting
11,6,,,,,,B,resting
11,7,,,,,,B,resting
11,8,,,,,,B,resting
11,9,,,,,,B,resting
11,10,,,,,,B,resting
11,11,,,,,,B,resting
